
=== Graded Price Audit — 2026-08-19T16:38:05.718Z ===
Cards: 5   Grade combos: 14   Total calls: 70
Pacing: 1200ms between calls


─── Charizard Base Set (high volume) ───
[1/70] Charizard Base Set (high volume)       · Raw (ungraded)         → 0 comps, $— (insufficient)
[2/70] Charizard Base Set (high volume)       · PSA 10                 → 0 comps, $— (insufficient)
[3/70] Charizard Base Set (high volume)       · PSA 9                  → 0 comps, $— (insufficient)
[4/70] Charizard Base Set (high volume)       · PSA 8                  → 0 comps, $— (insufficient)
[5/70] Charizard Base Set (high volume)       · PSA 7                  → 0 comps, $— (insufficient)
[6/70] Charizard Base Set (high volume)       · PSA 5                  → 0 comps, $— (insufficient)
[7/70] Charizard Base Set (high volume)       · BGS 10 (Pristine)      → 0 comps, $— (insufficient)
[8/70] Charizard Base Set (high volume)       · BGS 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[9/70] Charizard Base Set (high volume)       · BGS 9 (Mint)           → 0 comps, $— (insufficient)
[10/70] Charizard Base Set (high volume)       · CGC 10 (Pristine)      → 0 comps, $— (insufficient)
[11/70] Charizard Base Set (high volume)       · CGC 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[12/70] Charizard Base Set (high volume)       · CGC 9 (Mint)           → 0 comps, $— (insufficient)
[13/70] Charizard Base Set (high volume)       · SGC 10 (Gem Mint)      → 0 comps, $— (insufficient)
[14/70] Charizard Base Set (high volume)       · SGC 9 (Mint)           → 0 comps, $— (insufficient)

─── Pikachu Illustrator (extreme rarity) ───
[15/70] Pikachu Illustrator (extreme rarity)   · Raw (ungraded)         → 0 comps, $— (insufficient)
[16/70] Pikachu Illustrator (extreme rarity)   · PSA 10                 → 0 comps, $— (insufficient)
[17/70] Pikachu Illustrator (extreme rarity)   · PSA 9                  → 0 comps, $— (insufficient)
[18/70] Pikachu Illustrator (extreme rarity)   · PSA 8                  → 0 comps, $— (insufficient)
[19/70] Pikachu Illustrator (extreme rarity)   · PSA 7                  → 0 comps, $— (insufficient)
[20/70] Pikachu Illustrator (extreme rarity)   · PSA 5                  → 0 comps, $— (insufficient)
[21/70] Pikachu Illustrator (extreme rarity)   · BGS 10 (Pristine)      → 0 comps, $— (insufficient)
[22/70] Pikachu Illustrator (extreme rarity)   · BGS 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[23/70] Pikachu Illustrator (extreme rarity)   · BGS 9 (Mint)           → 0 comps, $— (insufficient)
[24/70] Pikachu Illustrator (extreme rarity)   · CGC 10 (Pristine)      → 0 comps, $— (insufficient)
[25/70] Pikachu Illustrator (extreme rarity)   · CGC 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[26/70] Pikachu Illustrator (extreme rarity)   · CGC 9 (Mint)           → 0 comps, $— (insufficient)
[27/70] Pikachu Illustrator (extreme rarity)   · SGC 10 (Gem Mint)      → 0 comps, $— (insufficient)
